This table contains all individual libraries processed,,,,,,,,,,,,,,,,,"Support for different branches based on sequences covering diagnostic positions. Each shows percent support calculted by the number of sequences covering diagnostic positions supporting the relative branch over the total sequences covering diagnostic positions. Significant assignments (lower 95% binomial confidence >10% support) indicated with ""**"". Note that internal branches were not considered for assignment to a lineage. ",,,,,,,,,,,,,
Lines with the same Index Library ID are due to multiple sequencing runs of the same library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All deamination rates were computed by looking at C->T substitutions on the three terminal positions of the 5' and 3' ends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field sample ID,MPI-EVA Sample ID,Sub-sample/ Lysate ID,Indexed Library ID,Raw Sequences,Sequences ≥ 35 bp,"Mapped Sequences (≥ 35 bp, mapping quality ≥ 25)","Unique mapped sequences (≥ 35 bp, mapping quality ≥ 25)",% of sequences identified as hominin,Unique hominin sequences,Duplication rate,5' C->T substitutions [%],3' C->T substitutions [%],5' C->T substitutions [%] (95% binomial confidence intervals),3' C->T substitutions [%] (95% binomial confidence intervals),Ancient hominin mtDNA present, Number of deaminated sequences,Modern human support (all sequences),Modern human support (deaminated sequences only),Neanderthal-Hohlenstein-Stadel shared branch support (all sequences),Neanderthal-Hohlenstein-Stadel shared branch support (deaminated sequences only),Neanderthal support (all sequences),Neanderthal support (deaminated sequences only),Hohlenstein-Stadel support (all sequences),Hohlenstein-Stadel support (deaminated sequences only),Denisovan support (all sequences),Denisovan support (deaminated sequences only),Sima de los Huesos support (all sequences),Sima de los Huesos support (deaminated sequences only),Denisovan-Sima de los Huesos shared branch support (all sequences),Denisovan-Sima de los Huesos shared branch support (deaminated sequences only)
E247 ,SP7567,Lys3093,A27260,1975633,1526488,410467,25593,4.93,112,4.21,43.5,23.3,23.2-65.5,9.9-42.3,No,28,12.5% (1 / 8),NA% (0 / 0),**75.0% (3 / 4),50.0% (1 / 2),66.7% (2 / 3),NA% (0 / 0),0.0% (0 / 7),0.0% (0 / 1),0.0% (0 / 25),0.0% (0 / 5),0.0% (0 / 16),0.0% (0 / 7),7.4% (2 / 27),0.0% (0 / 8)
E247 ,SP7567,Lys9953,A32342,2029013,1493117,429705,34977,9.59,399,2.03,33.6,28.7,25.3-42.7,20.4-38.2,Yes,100,25.0% (4 / 16),0.0% (0 / 2),**81.2% (13 / 16),**100.0% (4 / 4),**54.5% (6 / 11),66.7% (2 / 3),0.0% (0 / 38),0.0% (0 / 9),1.2% (1 / 83),0.0% (0 / 15),0.0% (0 / 41),0.0% (0 / 14),7.4% (6 / 81),6.7% (1 / 15)
E247 ,SP7567,Lys9954,A32346,2244755,1668343,442528,34596,7.94,313,1.8,42,19.8,31.6-53.0,12.2-29.4,Yes,66,**40.0% (6 / 15),0.0% (0 / 2),**48.1% (13 / 27),**75.0% (3 / 4),33.3% (4 / 12),66.7% (2 / 3),0.0% (0 / 30),0.0% (0 / 6),0.0% (0 / 55),0.0% (0 / 10),2.1% (1 / 47),0.0% (0 / 15),5.1% (4 / 79),0.0% (0 / 10)
E247 ,SP7567,Lys9955,A32347,1875050,1428703,383050,36637,9.15,434,1.67,55.6,25,45.7-65.1,17.0-34.4,Yes,122,12.1% (4 / 33),12.5% (1 / 8),**92.6% (25 / 27),**100.0% (5 / 5),**90.9% (20 / 22),**100.0% (5 / 5),0.0% (0 / 40),0.0% (0 / 8),3.6% (3 / 84),0.0% (0 / 24),0.0% (0 / 62),0.0% (0 / 14),3.0% (3 / 101),0.0% (0 / 35)
E247 ,SP7567,Lys9956,A32348,3564076,2701492,697505,37010,4.34,169,2.24,33.3,33.3,20.0-49.0,19.6-49.5,Yes,39,27.3% (3 / 11),0.0% (0 / 2),**50.0% (9 / 18),**75.0% (3 / 4),**71.4% (5 / 7),100.0% (2 / 2),0.0% (0 / 17),0.0% (0 / 2),21.9% (7 / 32),25.0% (1 / 4),0.0% (0 / 25),0.0% (0 / 7),19.0% (8 / 42),12.5% (1 / 8)
E247 ,SP7567,Lys9957,A32349,4707246,3638990,1086974,41386,5.86,250,1.82,29,16.7,18.2-41.9,8.6-27.9,No,49,**50.0% (8 / 16),0.0% (0 / 2),33.3% (4 / 12),100.0% (2 / 2),**77.8% (7 / 9),**100.0% (3 / 3),0.0% (0 / 23),0.0% (0 / 3),5.8% (3 / 52),0.0% (0 / 11),0.0% (0 / 38),0.0% (0 / 7),3.5% (2 / 57),9.1% (1 / 11)
E247 ,SP7567,Lys3093,M5435,1217432,249084,66074,15079,10.16,62,2.03,35.7,18.8,12.8-64.9,4.0-45.6,No,15,25.0% (2 / 8),0.0% (0 / 2),**75.0% (3 / 4),NA% (0 / 0),**75.0% (6 / 8),100.0% (2 / 2),0.0% (0 / 9),0.0% (0 / 3),11.1% (1 / 9),50.0% (1 / 2),0.0% (0 / 8),0.0% (0 / 2),5.0% (1 / 20),0.0% (0 / 5)
E247 ,SP7567,Lys3093,M5435,958034,647740,244118,27900,4.9,145,2.02,43.8,27.5,26.4-62.3,14.6-43.9,Yes,39,23.1% (3 / 13),0.0% (0 / 5),**57.1% (4 / 7),100.0% (2 / 2),**72.7% (8 / 11),**100.0% (3 / 3),0.0% (0 / 8),0.0% (0 / 4),5.9% (1 / 17),20.0% (1 / 5),4.8% (1 / 21),11.1% (1 / 9),15.6% (5 / 32),14.3% (1 / 7)
E246 ,SP7566,Lys3092,M5434,1068241,716867,275769,30510,4.5,150,1.89,24.5,16.7,13.8-38.3,6.4-32.8,No,33,**50.0% (3 / 6),100.0% (1 / 1),18.2% (2 / 11),50.0% (2 / 4),25.0% (1 / 4),50.0% (1 / 2),0.0% (0 / 13),0.0% (0 / 7),4.3% (1 / 23),10.0% (1 / 10),0.0% (0 / 22),0.0% (0 / 3),9.4% (3 / 32),0.0% (0 / 5)
E246 ,SP7566,Lys3092,M5434,1365338,276169,73392,16808,7.41,49,1.96,54.5,18.2,23.4-83.3,2.3-51.8,No,10,100.0% (1 / 1),100.0% (1 / 1),0.0% (0 / 6),0.0% (0 / 1),0.0% (0 / 3),NA% (0 / 0),0.0% (0 / 5),0.0% (0 / 2),0.0% (0 / 8),0.0% (0 / 3),0.0% (0 / 7),0.0% (0 / 1),0.0% (0 / 12),0.0% (0 / 3)
