RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	FamilyKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	RunID	MeanFragmentLength	breadth	coverage	expected_breadth	expected_breadth_prop
Cap.F.2725	2560493	2538194	1998634	245	0.002674	19.2	f	760	Rodentia	Dipodidae	Sicista_strandi	best	136	0.1789	91	1.4945	547	89	499	0.1	++	13	26	45.0 (23.1,68.5)	27.3 (10.7,50.2)	50.0 (6.8,93.2)	100.0 (15.8,100.0)	200316_D00829_0327.lane1	40	0.033013458868972174	0.21968736797634136	0.17632887255795382	0.1872266202922705
Cap.F.2725	2560493	2538194	1998634	266	0.001578	58.3	f	2916	Primates	Lepilemuridae	Lepilemur_otto	best	2214	0.7592	583	3.7975	922	583	922	0.69	++	94	176	53.3 (43.3,63.1)	24.3 (18.0,31.4)	60.0 (14.7,94.7)	23.1 (5.0,53.8)	200316_D00829_0327.lane1	40	0.05564608606433701	1.407447643189088	0.7114180762682113	0.07821854394849241
Cap.F.2725	2560493	2538194	1998634	279	0.001409	13.7	f	1212	Primates	Cheirogaleidae	Microcebus_danfossi	best	703	0.58	380	1.85	859	226	797	0.26	++	63	109	51.2 (35.1,67.1)	55.6 (44.1,66.6)	25.0 (5.5,57.2)	75.0 (19.4,99.4)	200316_D00829_0327.lane1	40	0.05184380469551572	0.9173758223187881	0.5551609960294501	0.09338517126798569
Cap.F.2725	2560493	2538194	1998634	303	0.003899	24.1	f	1013	Carnivora	Herpestidae	Herpestes_ichneumon	best	633	0.6248	368	1.7201	870	320	775	0.38	++	38	63	28.2 (18.1,40.1)	24.4 (15.8,34.9)	50.0 (11.8,88.2)	30.0 (6.7,65.2)	200316_D00829_0327.lane1	40	0.052507695093246425	0.8884060595087211	0.543635091042441	0.09658628730636376
Cap.F.2725	2560493	2538194	1998634	3054	0.0654	45.5	f	18292	Perissodactyla	Equidae	Equus_ovodovi	best	17607	0.9625	9458	1.8615	5226	9386	5216	11.19	++	1143	1866	38.8 (36.7,41.1)	18.8 (17.3,20.5)	45.2 (34.3,56.5)	18.7 (13.6,24.8)	200316_D00829_0327.lane1	40	0.3154082925946044	22.833001388134466	0.9999999982463039	0.31540829314773466
Cap.F.2725	2560493	2538194	1998634	3145	0.04418	5.67	f	1600	Primates	Hominidae	Homo_sapiens	fixed	546	0.3412	341	1.6011	7645	-	-	0.4	++	48	77	36.1 (25.9,47.4)	26.4 (17.6,37.0)	55.6 (21.2,86.3)	45.5 (16.7,76.6)	200316_D00829_0327.lane1	40	0.46140382642283784	0.8232240931860704	0.5165980971262565	0.8931581997485964
Cap.F.2725	2560493	2538194	1998634	321	0.002342	9.7	f	399	Rodentia	Spalacidae	Rhizomys_sinensis	best	90	0.2255	57	1.5789	635	48	599	0.05	+	8	18	63.6 (30.8,89.1)	33.3 (7.5,70.1)	100.0 (15.8,100.0)	66.7 (9.4,99.2)	200316_D00829_0327.lane1	40	0.03832458205081779	0.13760637334781822	0.11441463891645154	0.3349622252341623
Cap.F.2725	2560493	2538194	1998634	322	0.004302	13.1	f	736	Carnivora	Viverridae	Arctictis_binturong	best	464	0.6304	301	1.5415	1286	284	1205	0.33	++	46	83	50.8 (37.5,64.1)	33.9 (21.8,47.8)	75.0 (19.4,99.4)	37.5 (8.5,75.5)	200316_D00829_0327.lane1	40	0.07761482286197115	0.7266582171525138	0.4735712086988332	0.16389261305648792
Cap.F.2725	2560493	2538194	1998634	345	0.001564	30.3	f	2001	Primates	Cebidae	Leontopithecus_rosalia	best	1142	0.5707	588	1.9421	710	565	700	0.67	++	60	122	28.8 (20.6,38.2)	24.4 (17.1,33.0)	40.0 (5.3,85.3)	28.6 (3.7,71.0)	200316_D00829_0327.lane1	40	0.04285110748989076	1.4195183776932827	0.7144775809794951	0.05997544028063849
Cap.F.2725	2560493	2538194	1998634	4500	0.1342	316.0	f	137810	Carnivora	Hyaenidae	Crocuta_crocuta	best	135386	0.9824	38837	3.486	11059	36803	10772	43.88	++	4480	6841	39.4 (38.3,40.5)	17.8 (17.0,18.6)	39.5 (34.1,45.2)	17.2 (14.5,20.1)	200316_D00829_0327.lane1	40	0.6674512644094394	93.75822318788099	1.0	0.6674512644094394
Cap.F.2725	2560493	2538194	1998634	479	0.001492	19.3	f	1661	Chiroptera	Pteropodidae	Pteropus_dasymallus	best	205	0.1234	136	1.5073	1126	103	1026	0.12	++	18	29	40.9 (20.7,63.6)	30.0 (14.7,49.4)	0.0 (0.0,97.5)	0.0 (0.0,70.8)	200316_D00829_0327.lane1	40	0.06795823525861548	0.32832397851409256	0.25166914031886023	0.27003006873434554
Cap.F.2725	2560493	2538194	1998634	505	0.001436	17.9	f	1487	Eulipotyphla	Soricidae	Sorex_sinalis	best	526	0.3537	279	1.8853	913	264	889	0.31	+	48	77	59.4 (46.9,71.1)	11.1 (4.6,21.6)	N/A (N/A,N/A)	0.0 (0.0,33.6)	200316_D00829_0327.lane1	40	0.05510290301164826	0.6735469853340575	0.4482951060386038	0.12291658389619631
Cap.F.2725	2560493	2538194	1998634	562	0.000948	79.5	f	5184	Rodentia	Cricetidae	Cricetulus_migratorius	best	3061	0.5904	1394	2.1958	723	1394	723	1.66	++	159	307	42.0 (35.5,48.6)	20.0 (15.8,24.7)	45.5 (16.7,76.6)	23.8 (8.2,47.2)	200316_D00829_0327.lane1	40	0.043635705232663406	3.365320779769449	0.9487775951812283	0.04599150048893012
Cap.F.2725	2560493	2538194	1998634	637	0.001667	11.3	f	1330	Chiroptera	Phyllostomidae	Artibeus_jamaicensis	best	358	0.2691	206	1.7378	1145	194	1135	0.23	+	17	41	34.5 (17.9,54.3)	17.1 (7.2,32.1)	N/A (N/A,N/A)	0.0 (0.0,84.2)	200316_D00829_0327.lane1	40	0.06910495503651397	0.4973142615728167	0.35540205199574515	0.19444163208529053
Cap.F.2725	2560493	2538194	1998634	686	0.002603	11.5	f	1859	Carnivora	Mustelidae	Martes_foina	best	284	0.1527	187	1.5187	1315	186	1271	0.22	++	28	50	40.0 (24.9,56.7)	25.5 (13.9,40.3)	0.0 (0.0,84.2)	0.0 (0.0,97.5)	200316_D00829_0327.lane1	40	0.07936507936507936	0.4514454704568773	0.32875853640270924	0.24140842161391654
Cap.F.2725	2560493	2538194	1998634	708	0.001546	63.5	f	8195	Chiroptera	Vespertilionidae	Myotis_frater	best	2471	0.3015	916	2.6975	985	661	846	0.78	++	60	198	25.6 (18.0,34.5)	22.8 (16.0,30.8)	16.7 (0.4,64.1)	16.7 (0.4,64.1)	200316_D00829_0327.lane1	40	0.05944836743315831	2.211358561168447	0.8580995621946301	0.06927910239356877
