IndexLibID,SampleID,Ancient,H_support_deam,Deaminated(term3),variable,value,Site,support,sizes,sig,Significance,h_sizes,h_sig,h_Significance,h_support,Fragments,Support,Group
D5238,SP3834,++,0.0% (0 / 18),208,Neanderthal,^^^90.0% (45 / 50),"Denisova Cave, Russia",90,45,^^^,^^^,0,-,-,0,45,90,Neanderthal
D5275,SP3832,++,NA% (0 / 0),35,Neanderthal,^^^83.3% (5 / 6),"Denisova Cave, Russia",83,5,^^^,^^^,0,-,-,0,5,83,Neanderthal
D5268,SP3876,++,0.0% (0 / 10),169,Neanderthal,^^^73.3% (33 / 45),"Denisova Cave, Russia",73,33,^^^,^^^,0,-,-,0,33,73,Neanderthal
D5269,SP3876,++,0.0% (0 / 5),173,Neanderthal,^^^82.6% (38 / 46),"Denisova Cave, Russia",82,38,^^^,^^^,0,-,-,0,38,82,Neanderthal
D5230,SP3834,++,0.0% (0 / 28),460,Neanderthal,^^^95.8% (91 / 95),"Denisova Cave, Russia",95,91,^^^,^^^,0,-,-,0,91,95,Neanderthal
D5276,SP3832,++,4.1% (66 / 1591),20278,Neanderthal,^^^98.7% (5799 / 5878),"Denisova Cave, Russia",98,5799,^^^,^^^,66,-,-,4,5799,98,Neanderthal
D5277,SP3832,++,0.0% (0 / 3),44,Neanderthal,^^^92.3% (12 / 13),"Denisova Cave, Russia",92,12,^^^,^^^,0,-,-,0,12,92,Neanderthal
D5225,SP3834,++,2.6% (1 / 38),492,Neanderthal,^^^98.3% (117 / 119),"Denisova Cave, Russia",98,117,^^^,^^^,1,-,-,2,117,98,Neanderthal
D5284,SP3854,++,0.0% (0 / 1),48,Denisova-Sima,^^^37.0% (17 / 46),"Denisova Cave, Russia",37,17,^^^,^^^,0,-,-,0,17,37,Denisova-Sima
D5283,SP3854,++,0.0% (0 / 5),74,Denisova-Sima,^^^62.5% (25 / 40),"Denisova Cave, Russia",62,25,^^^,^^^,0,-,-,0,25,62,Denisova-Sima
D5281,SP3854,++,0.0% (0 / 6),59,Denisova-Sima,^^^57.6% (19 / 33),"Denisova Cave, Russia",57,19,^^^,^^^,0,-,-,0,19,57,Denisova-Sima
D5280,SP3854,++,NA% (0 / 0),29,Denisova-Sima,^^^31.0% (9 / 29),"Denisova Cave, Russia",31,9,^^^,^^^,0,-,-,0,9,31,Denisova-Sima
D5279,SP3854,++,0.0% (0 / 2),51,Denisova-Sima,^^^42.5% (17 / 40),"Denisova Cave, Russia",42,17,^^^,^^^,0,-,-,0,17,42,Denisova-Sima
D5265,SP3860,++,0.0% (0 / 9),181,Neanderthal,^^^91.2% (31 / 34),"Denisova Cave, Russia",91,31,^^^,^^^,0,-,-,0,31,91,Neanderthal
D5226,SP3834,++,6.5% (2 / 31),468,Neanderthal,^^^92.5% (98 / 106),"Denisova Cave, Russia",92,98,^^^,^^^,2,-,-,6,98,92,Neanderthal
D5221,SP3833,++,7.7% (1 / 13),224,Neanderthal,^^^81.8% (27 / 33),"Denisova Cave, Russia",81,27,^^^,^^^,1,-,-,7,27,81,Neanderthal
L5761,SP3833,++,0.0% (0 / 5),56,Neanderthal,^^^71.4% (15 / 21),"Denisova Cave, Russia",71,15,^^^,^^^,0,-,-,0,15,71,Neanderthal
L5764,SP3833,++,0.0% (0 / 4),62,Neanderthal,^^^30.3% (10 / 33),"Denisova Cave, Russia",30,10,^^^,^^^,0,-,-,0,10,30,Neanderthal
D5221,SP3833,++,7.7% (1 / 13),224,Neanderthal,^^^92.6% (25 / 27),"Denisova Cave, Russia",92,25,^^^,^^^,1,-,-,7,25,92,Neanderthal
D5284,SP3854,++,0.0% (0 / 1),48,Denisova,^^^36.0% (9 / 25),"Denisova Cave, Russia",36,9,^^^,^^^,0,-,-,0,9,36,Denisova
D5202,SP3876,++,0.0% (0 / 24),269,Neanderthal,^^^56.2% (36 / 64),"Denisova Cave, Russia",56,36,^^^,^^^,0,-,-,0,36,56,Neanderthal
