DB_entry	QC	QC_comment	Comments	RunID	IndexLibID	CapLibID	IndexLibIDCoreDB	CapLibIDCoreDB	p7	p5	SampleID	ExtractID	SampleType	ExperimentType	ProbeSet	Site	Description	CC_reads	CC_percent	RawSeqs	FilteredL35	Identified	%Hominid	Mapped	%Mapped	Unique	Duplication_Rate	5'CT	3'CT	5'CT(95%CI)	3'CT(95%CI)	cond5'CT(95%CI)	cond3'CT(95%CI)	Ancient	Deaminated(term3)	H_support	H_support_deam	N_support	N_support_deam	N-HST_support	N-HST_support_deam	HST_support	HST_support_deam	D_support	D_support_deam	D-S_support	D-S_support_deam	S_support	S_support_deam	H_der	H_deam_der	N_der	N_deam_der	N-HST_der	N-HST_deam_der	HST_der	HST_deam_der	D_der	D_deam_der	D-S_der	D-S_deam_der	S_der	S_deam_der	
533	passed			160719	D5240	D2350	Lib.E.5012	Cap.H.1840	384	64	SP3834	E4259	sediment	production	AA163	Denisova Cave, Russia	Soil - Denisova Cave, main gallery, layer 19.1 (vial 12: DCM14)	23.6	0.003828	617315	611325	3670	3.5	3122	85.1	839	3.72	34.8	19.7	28.6-41.4	14.6-25.7	13.7-78.8	4.0-32.7	++	176	^^^32.1% (18 / 56)	12.5% (1 / 8)	^^^60.0% (9 / 15)	^^60.0% (3 / 5)	^^^77.1% (27 / 35)	^^^100.0% (8 / 8)	0.0% (0 / 54)	0.0% (0 / 9)	0.0% (0 / 116)	0.0% (0 / 17)	1.8% (2 / 113)	0.0% (0 / 24)	2.2% (2 / 91)	5.0% (1 / 20)	(2056:3)(5580:1)(8461:2)(11770:4)(12474:3)(13359:2)(13889:3)	(11770:1)	(3808:3)(8386:2)(8986:1)(9027:1)(9456:1)(11950:1)	(8386:2)(9027:1)	(547:3)(3399:2)(4204:2)(4532:4)(7106:1)(7424:3)(8365:2)(10532:2)(11458:1)(13801:2)(15671:2)(16037:3)	(4532:2)(7106:1)(7424:1)(8365:2)(11458:1)(15671:1)					(3978:1)(14073:1)		(4380:1)(13983:1)	(13983:1)	
534	passed			160719	D5241	D2351	Lib.E.5013	Cap.H.1841	385	65	SP3834	E4260	sediment	production	AA163	Denisova Cave, Russia	Soil - Denisova Cave, main gallery, layer 19.1 (vial 12: DCM14)	1.2	0.000258	480933	475446	2010	2.8	1642	81.7	797	2.06	36.6	25.6	30.3-43.3	19.2-32.8	7.5-70.1	2.8-33.6	++	211	10.2% (6 / 59)	^22.2% (4 / 18)	^^^93.3% (14 / 15)	^^^100.0% (5 / 5)	^^^93.1% (27 / 29)	^^^100.0% (6 / 6)	0.0% (0 / 33)	0.0% (0 / 12)	0.0% (0 / 98)	0.0% (0 / 30)	1.8% (2 / 112)	2.7% (1 / 37)	0.0% (0 / 71)	0.0% (0 / 22)	(7868:1)(11770:5)	(7868:1)(11770:3)	(438:1)(3808:2)(6200:1)(8386:1)(8986:2)(9027:4)(9456:3)	(438:1)(3808:1)(9027:1)(9456:2)	(547:2)(3399:2)(4204:1)(4532:2)(5673:4)(7106:1)(7424:5)(8365:1)(13801:1)(15479:1)(15671:3)(16037:4)	(5673:1)(7106:1)(7424:1)(8365:1)(15671:1)(16037:1)					(4914:1)(15742:1)	(4914:1)			
535	passed			160719	D5242	D2352	Lib.E.5014	Cap.H.1842	386	66	SP3834	E4261	sediment	production	AA163	Denisova Cave, Russia	Soil - Denisova Cave, main gallery, layer 19.1 (vial 12: DCM14)	3.1	0.000865	363143	359957	2142	3.8	1886	88.0	843	2.24	36.3	26.2	30.4-42.5	20.3-32.9	32.3-83.7	16.5-54.0	++	226	^13.3% (6 / 45)	^27.3% (3 / 11)	^^^82.4% (14 / 17)	^^^80.0% (4 / 5)	^^^97.0% (32 / 33)	^^^100.0% (8 / 8)	4.0% (2 / 50)	0.0% (0 / 13)	1.6% (2 / 128)	6.1% (2 / 33)	2.5% (3 / 118)	0.0% (0 / 37)	0.9% (1 / 106)	0.0% (0 / 28)	(7868:1)(11770:4)(13656:1)	(11770:2)(13656:1)	(3808:2)(6200:2)(7127:1)(8386:1)(8986:1)(9027:2)(9456:1)(11950:4)	(3808:1)(9027:1)(9456:1)(11950:1)	(417:1)(3399:4)(4532:4)(5673:3)(7106:2)(7424:1)(8365:2)(10532:1)(11458:1)(13801:8)(15479:2)(15671:1)(16037:2)	(3399:1)(4532:1)(5673:1)(7106:1)(11458:1)(13801:1)(15479:1)(15671:1)	(7852:1)(14133:1)		(3832:1)(15403:1)	(3832:1)(15403:1)	(8140:1)(9884:1)(9899:1)		(14384:1)		
536	passed			160719	D5243	D2353	Lib.E.5015	Cap.H.1843	387	67	SP3876	E4262	sediment	production	AA163	Denisova Cave, Russia	Soil - Denisova Cave, east gallery, layer 14 (vial 54: DCE14-15)	7.5	0.001086	694907	687818	1846	1.8	1507	81.6	861	1.75	41.7	29.4	34.9-48.8	23.2-36.2	29.8-74.3	26.8-69.4	++	218	^^^27.7% (13 / 47)	0.0% (0 / 5)	^^^75.0% (15 / 20)	^^^100.0% (6 / 6)	^^^63.6% (21 / 33)	^^^100.0% (7 / 7)	0.0% (0 / 58)	0.0% (0 / 9)	0.9% (1 / 110)	0.0% (0 / 25)	0.0% (0 / 119)	0.0% (0 / 24)	0.0% (0 / 106)	0.0% (0 / 25)	(4940:1)(5580:1)(8021:2)(9325:2)(10324:1)(11770:1)(12474:1)(13359:1)(13656:1)(15355:1)(15443:1)		(3808:4)(6200:3)(7127:4)(9027:1)(9456:2)(11950:1)	(3808:1)(6200:1)(7127:2)(9027:1)(9456:1)	(547:3)(3399:2)(4532:2)(5673:1)(7106:2)(7424:3)(8365:1)(10532:1)(13801:2)(15479:1)(15671:3)	(547:1)(4532:1)(7106:2)(7424:2)(15671:1)			(3832:1)						
537	passed			160719	D5244	D2354	Lib.E.5016	Cap.H.1844	388	68	SP3876	E4263	sediment	production	AA163	Denisova Cave, Russia	Soil - Denisova Cave, east gallery, layer 14 (vial 54: DCE14-15)	78.7	0.042150	186711	136703	38	100.0	37	97.4	32	1.16	25.0	16.7	5.5-57.2	0.4-64.1	2.5-100.0	2.5-100.0	-	5	^^100.0% (2 / 2)	NA% (0 / 0)	100.0% (1 / 1)	100.0% (1 / 1)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 3)	NA% (0 / 0)	0.0% (0 / 7)	0.0% (0 / 1)	0.0% (0 / 7)	NA% (0 / 0)	0.0% (0 / 3)	NA% (0 / 0)	(6266:1)(11770:1)		(11950:1)	(11950:1)											
538	passed			160719	D5245	D2355	Lib.E.5017	Cap.H.1845	389	69	SP3876	E4264	sediment	production	AA163	Denisova Cave, Russia	Soil - Denisova Cave, east gallery, layer 14 (vial 54: DCE14-15)	13.8	0.001921	719661	712600	1453	1.4	1064	73.2	636	1.67	30.0	27.6	22.8-38.0	20.9-35.1	7.5-70.1	5.5-57.2	++	138	^^^29.4% (10 / 34)	0.0% (0 / 9)	^^^71.4% (10 / 14)	^^100.0% (3 / 3)	^^^61.9% (13 / 21)	^^^100.0% (6 / 6)	0.0% (0 / 41)	0.0% (0 / 8)	1.4% (1 / 69)	0.0% (0 / 15)	1.1% (1 / 87)	6.2% (1 / 16)	3.6% (2 / 56)	15.4% (2 / 13)	(2056:1)(5580:1)(6266:1)(7891:1)(8021:1)(9325:1)(10324:1)(11770:1)(13656:2)		(438:1)(6200:2)(8986:2)(9027:1)(9456:3)(11950:1)	(438:1)(9456:2)	(417:1)(547:1)(4532:1)(5673:1)(8365:1)(10532:2)(11458:1)(13801:1)(15479:3)(16037:1)	(417:1)(11458:1)(13801:1)(15479:2)(16037:1)			(928:1)		(8140:1)	(8140:1)	(11335:1)(13813:1)	(11335:1)(13813:1)	
539	passed			160719	D5246	D2356	Lib.E.5018	Cap.H.1846	390	70	SP3876	E4265	sediment	production	AA163	Denisova Cave, Russia	Soil - Denisova Cave, east gallery, layer 14 (vial 54: DCE14-15)	17.8	0.007293	244318	187699	46	100.0	45	97.8	38	1.18	20.0	20.0	2.5-55.6	2.5-55.6	N/A-N/A	0.0-97.5	-	7	^^^83.3% (5 / 6)	0.0% (0 / 1)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 2)	0.0% (0 / 1)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 11)	NA% (0 / 0)	0.0% (0 / 10)	0.0% (0 / 1)	0.0% (0 / 11)	0.0% (0 / 1)	(2831:1)(4940:1)(6266:1)(15148:2)														
547	passed			160722	D5255	D2365	Lib.E.5518	Cap.H.1854	326	7	SP3872	E4317	sediment	production	AA163	Denisova Cave, Russia	Soil sample - Denisova cave, vial 50: DCE14-11 layer 11.2 SE face OSL	0	0	423542	417731	418	0.2	121	28.9	109	1.11	25.0	16.7	9.8-46.7	5.6-34.7	0.0-97.5	0.0-97.5	-	22	^^^70.0% (7 / 10)	^^100.0% (2 / 2)	33.3% (1 / 3)	NA% (0 / 0)	^40.0% (2 / 5)	NA% (0 / 0)	0.0% (0 / 4)	0.0% (0 / 2)	0.0% (0 / 11)	0.0% (0 / 1)	0.0% (0 / 2)	0.0% (0 / 1)	0.0% (0 / 15)	0.0% (0 / 3)	(11770:5)(12474:1)(15148:1)	(11770:2)	(7127:1)		(7106:1)(15671:1)										
548	passed			160722	D5256	D2366	Lib.E.5519	Cap.H.1855	327	8	SP3872	E4318	sediment	production	AA163	Denisova Cave, Russia	Soil sample - Denisova cave, vial 50: DCE14-11 layer 11.2 SE face OSL	0	0	464204	457750	1173	0.5	329	28.0	232	1.42	20.7	15.9	11.2-33.4	7.9-27.3	N/A-N/A	0.0-84.2	+	32	^^71.4% (5 / 7)	^^75.0% (3 / 4)	0.0% (0 / 1)	NA% (0 / 0)	50.0% (1 / 2)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 7)	0.0% (0 / 1)	0.0% (0 / 6)	0.0% (0 / 1)	0.0% (0 / 7)	0.0% (0 / 1)	(11770:5)	(11770:3)			(10532:1)										
549	passed			160722	D5257	D2367	Lib.E.5520	Cap.H.1856	328	9	SP3872	E4319	sediment	production	AA163	Denisova Cave, Russia	Soil sample - Denisova cave, vial 50: DCE14-11 layer 11.2 SE face OSL	0	0	393893	388500	357	0.2	114	31.9	94	1.21	32.0	23.1	14.9-53.5	9.0-43.6	0.0-84.2	0.0-84.2	+	27	^^77.8% (7 / 9)	33.3% (1 / 3)	NA% (0 / 0)	NA% (0 / 0)	50.0% (1 / 2)	100.0% (1 / 1)	0.0% (0 / 6)	NA% (0 / 0)	0.0% (0 / 8)	0.0% (0 / 1)	0.0% (0 / 8)	0.0% (0 / 1)	0.0% (0 / 3)	0.0% (0 / 2)	(11770:6)(15148:1)	(11770:1)			(13801:1)	(13801:1)									
550	passed			160722	D5258	D2368	Lib.E.5521	Cap.H.1857	329	10	SP3872	E4320	sediment	production	AA163	Denisova Cave, Russia	Soil sample - Denisova cave, vial 50: DCE14-11 layer 11.2 SE face OSL	0	0	421160	415173	748	0.4	221	29.5	178	1.24	22.0	14.3	10.6-37.6	6.4-26.2	0.0-60.2	0.0-84.2	+	20	^^^83.3% (10 / 12)	^^100.0% (2 / 2)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 6)	NA% (0 / 0)	0.0% (0 / 15)	0.0% (0 / 3)	0.0% (0 / 10)	NA% (0 / 0)	0.0% (0 / 13)	NA% (0 / 0)	(2831:2)(7868:1)(7891:1)(11770:4)(13656:1)(13889:1)	(11770:2)													
551	passed			160722	D5259	D2369	Lib.E.5522	Cap.H.1858	330	11	SP3872	E4321	sediment	production	AA163	Denisova Cave, Russia	Soil sample - Denisova cave, vial 50: DCE14-11 layer 11.2 SE face OSL	0	0	411876	407004	415	0.3	145	34.9	129	1.12	48.0	13.3	27.8-68.7	3.8-30.7	0.0-97.5	0.0-60.2	+	31	^^^42.9% (6 / 14)	25.0% (1 / 4)	NA% (0 / 0)	NA% (0 / 0)	^66.7% (2 / 3)	100.0% (1 / 1)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 17)	0.0% (0 / 6)	0.0% (0 / 22)	0.0% (0 / 7)	0.0% (0 / 6)	NA% (0 / 0)	(5840:1)(10324:1)(11770:4)	(11770:1)			(11458:1)(15479:1)	(15479:1)									
552	passed			160722	D5260	D2370	Lib.E.5523	Cap.H.1859	331	12	SP3872	E4322	sediment	production	AA163	Denisova Cave, Russia	Soil sample - Denisova cave, vial 50: DCE14-11 layer 11.2 SE face OSL	0	0	435860	430049	356	0.2	114	32.0	100	1.14	22.2	15.6	6.4-47.6	5.3-32.8	0.0-97.5	0.0-97.5	-	15	^^^85.7% (6 / 7)	^^100.0% (3 / 3)	50.0% (1 / 2)	NA% (0 / 0)	25.0% (1 / 4)	NA% (0 / 0)	0.0% (0 / 3)	NA% (0 / 0)	0.0% (0 / 11)	NA% (0 / 0)	0.0% (0 / 8)	NA% (0 / 0)	0.0% (0 / 10)	0.0% (0 / 2)	(5840:1)(11770:3)(13359:1)(15148:1)	(11770:2)(15148:1)	(8386:1)		(8365:1)										
553	passed			160722	D5261	D2371	Lib.E.5524	Cap.H.1860	332	13	SP3860	E4323	sediment	production	AA163	Denisova Cave, Russia	Soil sample - Denisova cave, vial 38: DCE14-D9 middle part of layer 11.4 c+b,	0	0	463956	455317	6331	5.5	5583	88.2	1098	5.08	52.4	31.6	46.5-58.2	26.3-37.3	26.4-64.3	16.8-45.2	++	336	10.9% (7 / 64)	0.0% (0 / 19)	^^^96.0% (24 / 25)	^^^100.0% (5 / 5)	^^^87.5% (42 / 48)	^^^94.1% (16 / 17)	0.0% (0 / 61)	0.0% (0 / 17)	1.3% (2 / 156)	2.0% (1 / 49)	0.0% (0 / 186)	0.0% (0 / 56)	0.8% (1 / 120)	0.0% (0 / 26)	(5580:1)(5840:1)(8021:1)(9325:1)(11770:1)(12474:1)(13359:1)		(3808:2)(6200:7)(7127:2)(8986:2)(9027:7)(9456:2)(11950:2)	(3808:1)(6200:2)(9027:1)(11950:1)	(547:1)(3399:2)(4204:2)(4532:3)(5673:3)(7106:2)(7424:2)(8365:1)(10532:5)(11458:3)(13801:8)(15479:2)(15671:4)(16037:4)	(3399:1)(4532:2)(5673:1)(8365:1)(10532:2)(11458:3)(13801:1)(15479:1)(15671:2)(16037:2)			(3888:1)(5270:1)	(5270:1)			(5601:1)		
554	passed			160722	D5262	D2372	Lib.E.5525	Cap.H.1861	333	14	SP3860	E4324	sediment	production	AA163	Denisova Cave, Russia	Soil sample - Denisova cave, vial 38: DCE14-D9 middle part of layer 11.4 c+b,	0	0	608791	596629	4161	2.8	3269	78.6	468	6.99	42.0	39.0	33.0-51.4	30.4-48.2	7.8-55.1	12.2-73.8	++	143	6.2% (1 / 16)	0.0% (0 / 4)	^^^88.2% (15 / 17)	^^^100.0% (4 / 4)	^^^92.3% (12 / 13)	^^^100.0% (7 / 7)	4.2% (1 / 24)	0.0% (0 / 6)	0.0% (0 / 54)	0.0% (0 / 21)	1.9% (1 / 52)	0.0% (0 / 16)	0.0% (0 / 54)	0.0% (0 / 22)	(11770:1)		(438:2)(3808:3)(6200:2)(7127:2)(8386:1)(8986:2)(9027:1)(9456:2)	(7127:1)(8986:1)(9027:1)(9456:1)	(547:1)(4532:2)(5673:1)(7106:1)(8365:1)(13801:3)(15671:3)	(547:1)(5673:1)(7106:1)(13801:2)(15671:2)	(11074:1)				(7789:1)				
555	passed			160722	D5263	D2373	Lib.E.5526	Cap.H.1862	334	15	SP3860	E4325	sediment	production	AA163	Denisova Cave, Russia	Soil sample - Denisova cave, vial 38: DCE14-D9 middle part of layer 11.4 c+b,	0	0	565615	556187	1180	0.8	672	56.9	322	2.09	47.0	23.0	34.6-59.7	13.2-35.5	6.8-93.2	6.8-93.2	++	81	14.8% (4 / 27)	0.0% (0 / 8)	^^^77.8% (7 / 9)	^66.7% (2 / 3)	^^^84.6% (11 / 13)	^^^80.0% (4 / 5)	0.0% (0 / 7)	0.0% (0 / 2)	0.0% (0 / 39)	0.0% (0 / 10)	2.4% (1 / 42)	0.0% (0 / 7)	0.0% (0 / 43)	0.0% (0 / 16)	(8461:1)(13359:1)(15355:1)(15443:1)		(438:1)(7127:1)(8386:2)(8986:3)	(438:1)(8986:1)	(417:1)(547:1)(5673:1)(7424:1)(8365:1)(13801:2)(15671:2)(16037:2)	(417:1)(5673:1)(16037:2)					(8140:1)				
556	passed			160722	D5264	D2374	Lib.E.5527	Cap.H.1863	335	16	SP3860	E4326	sediment	production	AA163	Denisova Cave, Russia	Soil sample - Denisova cave, vial 38: DCE14-D9 middle part of layer 11.4 c+b,	0	0	538821	529283	3704	4.1	3129	84.5	1389	2.25	48.0	29.5	43.0-53.0	24.9-34.3	40.8-74.5	21.2-45.1	++	417	6.5% (5 / 77)	4.2% (1 / 24)	^^^88.6% (31 / 35)	^^^100.0% (7 / 7)	^^^84.2% (48 / 57)	^^^94.1% (16 / 17)	0.0% (0 / 84)	0.0% (0 / 25)	1.3% (2 / 152)	0.0% (0 / 40)	1.3% (3 / 238)	0.0% (0 / 72)	2.5% (4 / 160)	4.1% (2 / 49)	(4940:1)(8021:1)(13656:1)(15148:1)(15355:1)	(13656:1)	(438:4)(3808:7)(6200:3)(7127:6)(8386:1)(8986:4)(9027:4)(9456:2)	(438:1)(3808:1)(6200:1)(7127:1)(8986:2)(9027:1)	(417:1)(547:4)(3399:1)(4204:5)(4532:4)(5673:2)(7106:2)(7424:6)(8365:3)(10532:2)(11458:2)(13801:6)(15479:3)(15671:4)(16037:3)	(3399:1)(4204:3)(4532:2)(7424:1)(10532:2)(11458:1)(13801:3)(15479:1)(15671:1)(16037:1)			(10196:1)(13923:1)		(6938:1)(7789:1)(15490:1)		(3567:1)(7774:1)(13983:1)(14218:1)	(7774:1)(14218:1)	
557	passed			160722	D5265	D2375	Lib.E.5528	Cap.H.1864	336	17	SP3860	E4327	sediment	production	AA163	Denisova Cave, Russia	Soil sample - Denisova cave, vial 38: DCE14-D9 middle part of layer 11.4 c+b,	0	0	477516	469270	3208	2.2	2622	81.7	579	4.53	50.0	30.8	42.1-57.9	23.7-38.6	28.9-82.3	14.3-51.8	++	181	7.9% (3 / 38)	0.0% (0 / 6)	^^^100.0% (12 / 12)	^^^100.0% (3 / 3)	^^^86.4% (19 / 22)	^^^100.0% (8 / 8)	0.0% (0 / 23)	0.0% (0 / 12)	1.4% (1 / 74)	0.0% (0 / 20)	2.7% (2 / 75)	0.0% (0 / 23)	1.6% (1 / 62)	0.0% (0 / 29)	(10324:1)(15355:1)(15443:1)		(438:2)(3808:1)(6200:1)(7127:3)(8986:2)(9027:2)(11950:1)	(6200:1)(7127:1)(8986:1)	(547:3)(3399:2)(4204:1)(5673:1)(7106:2)(7424:1)(8365:1)(11458:2)(13801:4)(16037:2)	(547:2)(3399:1)(4204:1)(8365:1)(11458:1)(13801:1)(16037:1)			(534:1)		(4914:1)(4958:1)		(535:1)		
558	passed		inclBV2020	160722	D5266	D2376	Lib.E.5529	Cap.H.1865	337	18	SP3860	E4328	sediment	production	AA163	Denisova Cave, Russia	Soil sample - Denisova cave, vial 38: DCE14-D9 middle part of layer 11.4 c+b,	0	0	470172	461906	24211	21.8	22511	93.0	5990	3.76	45.9	29.4	43.5-48.4	27.0-31.8	40.5-59.5	23.0-36.2	++	1749	5.0% (20 / 398)	1.9% (2 / 108)	^^^90.2% (156 / 173)	^^^97.3% (36 / 37)	^^^80.5% (223 / 277)	^^^78.0% (46 / 59)	0.3% (1 / 389)	0.0% (0 / 94)	0.8% (7 / 908)	1.4% (4 / 276)	0.9% (9 / 1010)	1.0% (3 / 300)	0.9% (7 / 796)	1.3% (3 / 237)	(4940:1)(5580:1)(5821:2)(5840:2)(6266:1)(8021:1)(8065:1)(8461:1)(8503:2)(9325:1)(10324:1)(11770:1)(13359:1)(13889:1)(15355:2)(15443:1)	(9325:1)(11770:1)	(438:19)(3808:18)(6200:26)(7127:22)(8386:10)(8986:17)(9027:18)(9456:14)(11950:12)	(438:1)(3808:8)(6200:9)(7127:2)(8386:2)(8986:7)(9027:3)(9456:2)(11950:2)	(547:20)(3399:25)(4204:9)(4532:12)(5673:12)(7106:16)(7424:20)(8365:13)(10532:10)(11458:14)(13801:22)(15479:19)(15671:14)(16037:17)	(547:5)(3399:3)(4204:1)(4532:2)(5673:3)(7106:3)(7424:7)(8365:2)(10532:1)(11458:3)(13801:6)(15479:3)(15671:3)(16037:4)	(8840:1)		(3636:1)(8008:1)(10196:2)(13923:1)(15403:2)	(3636:1)(8008:1)(10196:1)(15403:1)	(1405:1)(3978:1)(6938:1)(7232:1)(8140:1)(8545:1)(9434:1)(12001:1)(12528:1)	(7232:1)(8545:1)(12528:1)	(3567:1)(4113:1)(5601:2)(6614:1)(13813:1)(14384:1)	(3567:1)(6614:1)(14384:1)	
560	passed			160722	D5268	D2378	Lib.E.5531	Cap.H.1867	339	20	SP3876	E4266	sediment	production	AA163	Denisova Cave, Russia	Soil - Denisova Cave, east gallery, layer 14 (vial 54: DCE14-15)	0	0	466510	458372	1652	1.9	1278	77.4	623	2.05	49.0	34.5	41.0-57.1	26.8-42.7	25.1-80.8	15.4-59.2	++	169	^15.0% (6 / 40)	11.1% (1 / 9)	^^^72.2% (13 / 18)	^^^100.0% (4 / 4)	^^^82.6% (19 / 23)	^^^100.0% (8 / 8)	0.0% (0 / 44)	0.0% (0 / 13)	1.2% (1 / 83)	3.8% (1 / 26)	2.1% (2 / 97)	0.0% (0 / 26)	3.0% (2 / 67)	0.0% (0 / 15)	(7891:1)(8021:1)(8503:1)(10324:1)(11770:1)(15148:1)	(11770:1)	(3808:2)(6200:1)(7127:1)(8386:4)(8986:2)(9027:1)(9456:2)	(6200:1)(7127:1)(8386:1)(9456:1)	(417:1)(547:1)(3399:2)(4204:1)(4532:3)(7106:2)(7424:1)(8365:2)(10532:2)(11458:2)(13801:2)	(417:1)(3399:1)(4204:1)(4532:2)(7106:2)(8365:1)			(5270:1)	(5270:1)	(486:1)(15100:1)		(3567:1)(4380:1)		
561	passed			160722	D5269	D2379	Lib.E.5532	Cap.H.1868	340	21	SP3876	E4267	sediment	production	AA163	Denisova Cave, Russia	Soil - Denisova Cave, east gallery, layer 14 (vial 54: DCE14-15)	1.6	0.000371	428576	421957	1624	2.2	1247	76.8	661	1.89	39.2	31.8	32.1-46.7	24.6-39.8	24.4-65.1	26.8-69.4	++	173	^20.7% (6 / 29)	20.0% (1 / 5)	^^^63.6% (7 / 11)	0.0% (0 / 1)	^^^77.8% (21 / 27)	^^^100.0% (6 / 6)	0.0% (0 / 28)	0.0% (0 / 10)	1.2% (1 / 86)	0.0% (0 / 23)	3.1% (3 / 97)	3.6% (1 / 28)	0.0% (0 / 71)	0.0% (0 / 16)	(2523:1)(8503:1)(11770:1)(13359:1)(15355:1)(15443:1)	(11770:1)	(6200:1)(7127:2)(8986:2)(9456:2)		(417:2)(547:3)(3399:1)(4204:1)(5673:5)(7106:2)(11458:3)(13801:1)(15671:1)(16037:2)	(547:1)(5673:1)(7106:1)(11458:1)(13801:1)(16037:1)			(5447:1)		(2284:1)(12528:1)(14073:1)	(2284:1)			
564	passed			160722	D5273	D2383	Lib.E.5536	Cap.H.1871	344	25	SP3832	E4292	sediment	production	AA163	Denisova Cave, Russia	Soil - Denisova Cave, layer 14.3 bulk eastside,  (vial 10: DCM14)	0	0	357755	352267	695	0.7	357	51.4	212	1.68	27.1	15.4	16.4-40.3	7.6-26.5	2.5-100.0	0.5-71.6	+	41	^^^38.5% (5 / 13)	0.0% (0 / 2)	^^^50.0% (4 / 8)	NA% (0 / 0)	^^^80.0% (4 / 5)	NA% (0 / 0)	0.0% (0 / 7)	0.0% (0 / 1)	0.0% (0 / 37)	0.0% (0 / 6)	0.0% (0 / 38)	0.0% (0 / 11)	0.0% (0 / 14)	0.0% (0 / 4)	(4940:3)(8021:1)(8065:1)		(3808:2)(7127:1)(9027:1)		(5673:1)(7106:1)(10532:1)(16037:1)										
565	passed			160722	D5274	D2384	Lib.E.5537	Cap.H.1872	345	26	SP3832	E4293	sediment	production	AA163	Denisova Cave, Russia	Soil - Denisova Cave, layer 14.3 bulk eastside,  (vial 10: DCM14)	0	0	429462	422993	302	0.2	124	41.1	108	1.15	23.1	18.5	9.0-43.6	6.3-38.1	N/A-N/A	0.0-97.5	-	18	^^^62.5% (5 / 8)	NA% (0 / 0)	100.0% (1 / 1)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 7)	0.0% (0 / 1)	0.0% (0 / 12)	0.0% (0 / 2)	0.0% (0 / 8)	0.0% (0 / 3)	0.0% (0 / 9)	0.0% (0 / 1)	(2831:1)(5580:1)(8021:1)(13095:1)(13656:1)		(9027:1)												
566	passed			160722	D5275	D2385	Lib.E.5538	Cap.H.1873	346	27	SP3832	E4294	sediment	production	AA163	Denisova Cave, Russia	Soil - Denisova Cave, layer 14.3 bulk eastside,  (vial 10: DCM14)	0	0	406669	400061	720	0.5	282	39.2	162	1.74	25.7	31.8	12.5-43.3	18.6-47.6	2.5-100.0	0.5-71.6	++	35	0.0% (0 / 7)	NA% (0 / 0)	33.3% (1 / 3)	NA% (0 / 0)	^^100.0% (2 / 2)	NA% (0 / 0)	0.0% (0 / 9)	0.0% (0 / 3)	0.0% (0 / 21)	0.0% (0 / 7)	0.0% (0 / 24)	0.0% (0 / 5)	0.0% (0 / 17)	0.0% (0 / 7)			(9027:1)		(10532:1)(15671:1)										
