Summary table of all sediment samples,,,,,,,,,,,,,,,,,
Data source refers to the step in the screening of samples,,,,,,,,,,,,,,,,,
Controls are identified in SampleID column: ENC=Extraction Negative Control; LNC=Library Negataive Control,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data Source,Chamber (Section),Library PlateID,Layer,MPI-EVA sample ID,Field sampleID,Sub-sample/lysate ID,Input for DNA extraction (mg),Extract ID,Number of molecules in library,Control oligo copies in library,Indexed library ID,Captured library ID - mammalian mtDNA,ENA Accession ID,Ancient mammalian mtDNA present,Captured library ID - human mtDNA,ENA Accession ID,Ancient hominin mtDNA present
First Screen,South SE_upper,Pl_261,pdd-9,SP7141,S17 ,Lys2637,60.5,E12990,1.36E+10,9.54E+05,M5624,B22614,ERS6159885,No,B22525,ERS6161274,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7142,S18 ,Lys2638,59.3,E12991,1.29E+10,7.02E+05,M5625,B22615,ERS6159886,No,B22526,ERS6161275,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7143,S19 ,Lys2639,61.9,E12992,8.64E+09,3.84E+05,M5626,B22616,ERS6159887,No,B22527,ERS6161276,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7144,S20 ,Lys2640,55,E12993,4.29E+10,8.28E+05,M5627,B22617,ERS6159888,Yes,B22528,ERS6161277,No
First Screen,,Pl_261,,ENC,,,,E12994,7.66E+07,1.45E+06,M5628,B22618,ERS6159889,No,B22529,ERS6161278,No
First Screen,South SE_upper,Pl_261,pdd-9,SP7145,S21 ,Lys2642,52.1,E12995,1.18E+10,1.38E+06,M5629,B22619,ERS6159890,No,B22530,ERS6161279,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7146,S22 ,Lys2643,53.2,E12996,1.82E+10,7.16E+05,M5630,B22620,ERS6159891,No,B22531,ERS6161280,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7147,S23 ,Lys2644,72.3,E12997,9.21E+09,6.75E+05,M5631,B22621,ERS6159892,Yes,B22532,ERS6161281,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7148,S24 ,Lys2645,51.2,E12998,8.04E+10,1.19E+06,M5632,B22622,ERS6159893,Yes,B22533,ERS6161282,No
First Screen,South SE_upper,Pl_261,pdd-9,SP7149,S25 ,Lys2646,48.8,E12999,4.06E+10,8.11E+05,M5633,B22623,ERS6159894,Yes,B22534,ERS6161283,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7150,S26 ,Lys2647,49.6,E13000,1.14E+10,4.07E+05,M5634,B22624,ERS6159895,No,B22535,ERS6161284,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7151,S27 ,Lys2648,52.6,E13001,7.50E+09,6.58E+05,M5635,B22625,ERS6159896,Yes,B22536,ERS6161285,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7152,S28 ,Lys2649,64.2,E13002,3.94E+10,9.50E+05,M5636,B22626,ERS6159897,Yes,B22537,ERS6161286,No
First Screen,South SE_upper,Pl_261,pdd-9,SP7153,S29 ,Lys2650,55.2,E13003,2.91E+10,6.89E+05,M5637,B22627,ERS6159898,Yes,B22538,ERS6161287,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7154,S30 ,Lys2651,57,E13004,9.18E+09,1.63E+05,M5638,B22628,ERS6159899,No,B22539,ERS6161288,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7155,S31 ,Lys2652,58.1,E13005,9.54E+10,1.23E+06,M5639,B22629,ERS6159900,Yes,B22540,ERS6161289,No
First Screen,South SE_upper,Pl_261,pdd-9,SP7156,S32 ,Lys2653,68.6,E13006,7.71E+09,6.48E+05,M5640,B22630,ERS6159901,No,B22541,ERS6161290,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7157,S33 ,Lys2654,67.9,E13007,3.05E+09,4.97E+04,M5641,B22631,ERS6159902,No,B22542,ERS6161291,No
First Screen,South SE_upper,Pl_261,pdd-9,SP7158,S34 ,Lys2655,55.9,E13008,1.42E+10,6.75E+05,M5642,B22632,ERS6159903,No,B22543,ERS6161292,No
First Screen,,Pl_261,, LNC,,,,,9.24E+07,1.45E+06,M5643,B22633,ERS6159904,No,B22544,ERS6161293,No
First Screen,,Pl_261,, ENC,,,,E13010,1.02E+08,1.24E+06,M5646,B22634,ERS6159905,No,B22545,ERS6161294,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7159,S35 ,Lys2656,64.2,E13011,4.37E+09,8.13E+04,M5648,B22635,ERS6159906,No,B22546,ERS6161295,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7160,S36 ,Lys2657,68.9,E13012,6.68E+10,3.23E+05,M5649,B22636,ERS6159907,Yes,B22547,ERS6161296,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7161,S37 ,Lys2658,57.9,E13013,8.47E+10,4.69E+05,M5650,B22637,ERS6159908,Yes,B22548,ERS6161297,No
First Screen,,Pl_261,,ENC,,,,E13014,9.20E+07,1.03E+06,M5651,B22638,ERS6159909,No,B22551,ERS6161298,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7162,S38 ,Lys2660,55.1,E13015,6.60E+10,1.20E+06,M5652,B22639,ERS6159910,Yes,B22552,ERS6161299,No
First Screen,South SE_upper,Pl_261,pdd-9,SP7163,S39 ,Lys2661,49.2,E13016,1.60E+10,1.02E+06,M5653,B22640,ERS6159911,No,B22553,ERS6161300,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7164,S40 ,Lys2662,53.1,E13017,2.19E+10,1.10E+06,M5654,B22641,ERS6159912,No,B22554,ERS6161301,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7165,S41 ,Lys2663,59.5,E13018,5.27E+10,7.31E+05,M5655,B22642,ERS6159913,Yes,B22555,ERS6161302,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7166,S42 ,Lys2664,56.5,E13019,2.77E+10,7.47E+05,M5656,B22643,ERS6159914,Yes,B22556,ERS6161303,No
First Screen,South SE_upper,Pl_261,pdd-9,SP7167,S43 ,Lys2665,62.5,E13020,8.16E+09,6.01E+05,M5657,B22644,ERS6159915,No,B22557,ERS6161304,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7168,S44 ,Lys2666,60.9,E13021,6.05E+10,1.44E+06,M5658,B22647,ERS6159916,Yes,B22558,ERS6161305,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7169,S45 ,Lys2667,84,E13022,2.02E+11,1.29E+06,M5659,B22648,ERS6159917,Yes,B22559,ERS6161306,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7170,S46 ,Lys2668,81.3,E13023,3.83E+10,9.62E+05,M5660,B22649,ERS6159918,No,B22560,ERS6161307,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7171,S47 ,Lys2669,64.5,E13024,2.02E+11,1.11E+06,M5661,B22650,ERS6159919,Yes,B22561,ERS6161308,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7172,S48 ,Lys2670,55.5,E13025,5.29E+10,1.35E+06,M5662,B22651,ERS6159920,Yes,B22562,ERS6161309,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7173,S49 ,Lys2671,75.3,E13026,9.57E+09,5.89E+05,M5663,B22652,ERS6159921,Yes,B22563,ERS6161310,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7174,S50 ,Lys2672,71.5,E13027,3.77E+10,1.55E+06,M5664,B22653,ERS6159922,Yes,B22564,ERS6161311,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7175,S51 ,Lys2673,73.5,E13028,6.57E+10,1.80E+06,M5665,B22654,ERS6159923,Yes,B22565,ERS6161312,No
First Screen,,Pl_261,,ENC,,,,E13029,6.58E+07,1.39E+06,M5666,B22655,ERS6159924,No,B22568,ERS6161313; ERS6161597,No
First Screen,,Pl_261,, LNC,,,,,1.18E+08,5.88E+09,M5667,B22656,ERS6159925,No,B22569,ERS6161314; ERS6161598,No
First Screen,,Pl_261,, ENC,,,,E13031,8.30E+07,1.40E+06,M5670,B22657,ERS6159926,No,B22570,ERS6161315,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7176,S52 ,Lys2675,64.1,E13032,3.38E+10,1.47E+06,M5671,B22658,ERS6159927,No,B22571,ERS6161316,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7177,S53 ,Lys2676,75.8,E13033,2.03E+11,8.64E+05,M5672,B22659,ERS6159928,Yes,B22572,ERS6161317,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7178,S54 ,Lys2677,79.2,E13034,7.53E+10,1.39E+06,M5673,B22660,ERS6159929,Yes,B22573,ERS6161318,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7179,S55 ,Lys2678,61.3,E13035,1.81E+11,1.17E+06,M5674,B22661,ERS6159930,Yes,B22574,ERS6161319,Yes
First Screen,South SE_upper,Pl_261,pdd-12,SP7180,S56 ,Lys2679,89.4,E13036,3.27E+11,1.57E+06,M5675,B22662,ERS6159931,Yes,B22575,ERS6161320,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7181,S57 ,Lys2680,80.4,E13037,3.33E+10,1.29E+06,M5676,B22663,ERS6159932,No,B22576,ERS6161321,No
First Screen,South SE_upper,Pl_261,11,SP7182,S58 ,Lys2681,66.9,E13038,2.53E+10,1.44E+06,M5677,B22664,ERS6159933,Yes,B22577,ERS6161322,No
First Screen,South SE_upper,Pl_261,11,SP7183,S59 ,Lys2682,84.9,E13039,4.71E+10,9.78E+05,M5678,B22665,ERS6159934,Yes,B22578,ERS6161323,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7184,S60 ,Lys2683,65.9,E13040,1.58E+11,1.05E+06,M5679,B22666,ERS6159935,Yes,B22579,ERS6161324,No
First Screen,South SE_upper,Pl_261,11,SP7185,S61 ,Lys2684,59.5,E13041,1.52E+10,1.34E+06,M5680,B22667,ERS6159936,Yes,B22580,ERS6161325,No
First Screen,South SE_upper,Pl_261,11,SP7186,S62 ,Lys2685,58.2,E13042,3.77E+10,1.27E+06,M5681,B22668,ERS6159937,Yes,B22581,ERS6161326,No
First Screen,South SE_upper,Pl_261,11,SP7187,S63 ,Lys2686,72,E13043,1.11E+11,1.14E+06,M5682,B22669,ERS6159938,Yes,B22582,ERS6161327,No
First Screen,South SE_upper,Pl_261,11,SP7188,S64 ,Lys2687,63.7,E13044,2.62E+11,1.34E+06,M5683,B22670,ERS6159939,Yes,B22583,ERS6161328; ERS6161726,No
First Screen,South SE_upper,Pl_261,11,SP7189,S65 ,Lys2688,79.2,E13045,1.33E+11,1.72E+06,M5684,B22671,ERS6159940,Yes,B22584,ERS6161329,No
First Screen,South SE_upper,Pl_261,11,SP7190,S66 ,Lys2689,91.3,E13046,1.51E+11,1.00E+06,M5685,B22672,ERS6159941,Yes,B22585,ERS6161330,No
First Screen,South SE_upper,Pl_261,11,SP7191,S67 ,Lys2690,56.3,E13047,1.31E+11,1.37E+06,M5686,B22673,ERS6159942,Yes,B22586,ERS6161331,No
First Screen,South SE_upper,Pl_261,11,SP7192,S68 ,Lys2691,80.7,E13048,1.25E+11,8.91E+05,M5687,B22674,ERS6159943,Yes,B22587,ERS6161332,No
First Screen,,Pl_261,,ENC,,,,E13049,9.03E+07,1.22E+06,M5688,B22675,ERS6159944,No,B22588,ERS6161333; ERS6161599,No
First Screen,South SE_upper,Pl_261,11,SP7193,S69 ,Lys2693,92,E13050,1.05E+11,1.01E+06,M5689,B22676,ERS6159945,Yes,B22589,ERS6161334,No
First Screen,South SE_upper,Pl_261,11,SP7194,S70 ,Lys2694,66,E13051,1.68E+11,7.10E+09,M5690,B22677,ERS6159946,Yes,B22590,ERS6161335,No
First Screen,,Pl_261,, LNC,,,,,7.86E+07,9.66E+05,M5691,B22678,ERS6159947,No,B22591,ERS6161336,No
First Screen,,Pl_261,, ENC,,,,E13053,9.22E+07,1.20E+06,M5694,B22679,ERS6159948,No,B22592,ERS6161337,No
First Screen,South SE_upper,Pl_261,11,SP7195,S71 ,Lys2695,50.5,E13054,1.07E+11,N/A,M5696,B22680,ERS6159949,Yes,B22593,ERS6161338,No
First Screen,South SE_upper,Pl_261,11,SP7196,S72 ,Lys2696,89.5,E13055,2.42E+11,N/A,M5697,B22681,ERS6159950,Yes,B22594,ERS6161339,No
First Screen,South SE_upper,Pl_261,11,SP7197,S73 ,Lys2697,90.8,E13056,1.40E+11,N/A,M5698,B22682,ERS6159951,Yes,B22595,ERS6161340,No
First Screen,South SE_upper,Pl_262,11,SP7198,S74 ,Lys2698,75.3,E13057,1.82E+11,8.68E+05,M5797,B21109,ERS6159952,Yes,B27403,ERS6161341; ERS6161600,No
First Screen,South SE_upper,Pl_262,pdd-12,SP7199,S75 ,Lys2699,68.7,E13058,1.04E+11,8.93E+05,M5798,B21110,ERS6159953,Yes,B27404,ERS6161342; ERS6161601,No
First Screen,South SE_upper,Pl_262,pdd-12,SP7200,S76 ,Lys2700,54.4,E13059,9.12E+10,7.80E+05,M5799,B21111,ERS6159954,Yes,B27405,ERS6161343,No
First Screen,,Pl_262,,ENC,,,,E13060,1.05E+08,6.93E+05,M5800,B21112,ERS6159955,No,B27406,ERS6161344; ERS6161602,No
First Screen,South SE_upper,Pl_262,pdd-12,SP7201,S77 ,Lys2702,50.6,E13061,2.28E+11,6.86E+05,M5801,B21113,ERS6159956,Yes,B27407,ERS6161345; ERS6161603,No
First Screen,South SE_upper,Pl_262,pdd-12,SP7202,S78 ,Lys2703,68.3,E13062,2.22E+11,6.81E+05,M5802,B21114,ERS6159957,Yes,B27408,ERS6161346; ERS6161604,No
First Screen,South SE_upper,Pl_262,pdd-12,SP7203,S79 ,Lys2704,90.2,E13063,3.65E+11,4.83E+05,M5803,B21115,ERS6159958,Yes,B27409,ERS6161347; ERS6161605,No
First Screen,South SE_upper,Pl_262,pdd-12,SP7204,S80 ,Lys2705,71.8,E13064,4.03E+11,5.85E+05,M5804,B21116,ERS6159959,Yes,B27410,ERS6161348; ERS6161606,No
First Screen,,Pl_262,,LNC,,,,,1.18E+08,7.12E+05,M5805,B21117,ERS6159960,No,B27411,ERS6161349; ERS6161607,No
First Screen,South SE_upper,Pl_262,pdd-12,SP7205,S81 ,Lys2706,54.3,E13067,3.25E+11,6.89E+05,M5809,B21118,ERS6159961,Yes,B27412,ERS6161350; ERS6161608,No
First Screen,South SE_upper,Pl_262,pdd-12,SP7206,S82 ,Lys2707,67,E13068,3.14E+11,7.82E+05,M5810,B21119,ERS6159962,Yes,B27413,ERS6161351; ERS6161609,No
First Screen,South SE_upper,Pl_262,pdd-12,SP7207,S83 ,Lys2708,60.2,E13069,3.93E+11,6.71E+05,M5811,B21120,ERS6159963,Yes,B27414,ERS6161352; ERS6161610,No
First Screen,South SE_upper,Pl_262,pdd-12,SP7208,S84 ,Lys2709,62.2,E13070,1.43E+11,8.71E+05,M5812,B21121,ERS6159964,Yes,B27417,ERS6161353,No
First Screen,South SE_upper,Pl_262,pdd-12,SP7209,S85 ,Lys2710,81.1,E13071,8.80E+10,9.97E+05,M5813,B21122,ERS6159965,Yes,B27418,ERS6161354,No
First Screen,South SE_upper,Pl_262,pdd-12,SP7210,S86 ,Lys2711,71.8,E13072,4.19E+11,8.08E+05,M5814,B21123,ERS6159966,Yes,B27419,ERS6161355; ERS6161611,No
First Screen,South SE_upper,Pl_262,11,SP7211,S87 ,Lys2712,50.25,E13073,5.60E+10,9.61E+05,M5815,B21124,ERS6159967,Yes,B27420,ERS6161356,No
First Screen,South SE_upper,Pl_262,11,SP7212,S88 ,Lys2713,56.2,E13074,7.87E+10,9.42E+05,M5816,B21126,ERS6159968,Yes,B27421,ERS6161357,No
First Screen,South SE_upper,Pl_262,11,SP7213,S89 ,Lys2714,64.3,E13075,5.91E+10,7.75E+05,M5817,B21127,ERS6159969,Yes,B27422,ERS6161358,No
First Screen,South SE_upper,Pl_262,11,SP7214,S90 ,Lys2715,71.3,E13076,1.05E+11,7.17E+05,M5818,B21128,ERS6159970,Yes,B27423,ERS6161359; ERS6161612,No
First Screen,South SE_upper,Pl_262,11,SP7215,S91 ,Lys2716,99.3,E13077,4.19E+10,6.94E+05,M5819,B21129,ERS6159971,Yes,B27424,ERS6161360,No
First Screen,South SE_lower,Pl_262,dMP,SP7216,S92 ,Lys2717,48.2,E13078,2.31E+11,6.44E+05,M5820,B21130,ERS6159972,Yes,B27425,ERS6161361; ERS6161613,No
First Screen,South SE_lower,Pl_262,dMP,SP7217,S93 ,Lys2718,63.7,E13079,3.41E+11,8.10E+05,M5821,B21131,ERS6159973,Yes,B27426,ERS6161362; ERS6161614,No
First Screen,,Pl_262,,ENC,,,,E13080,1.10E+08,8.46E+05,M5822,B21132,ERS6159974,No,B27427,ERS6161363; ERS6161615,No
First Screen,South SE_lower,Pl_262,dMP,SP7218,S94 ,Lys2720,66.7,E13081,3.98E+11,6.80E+05,M5823,B21133,ERS6159975,Yes,B27428,ERS6161364; ERS6161616,No
First Screen,South SE_lower,Pl_262,dMP,SP7219,S95 ,Lys2721,66.6,E13082,3.14E+11,6.98E+05,M5824,B21134,ERS6159976,Yes,B27429,ERS6161365; ERS6161617,No
First Screen,South SE_lower,Pl_262,dMP,SP7220,S96 ,Lys2722,80.3,E13083,1.92E+11,5.86E+05,M5825,B21135,ERS6159977,Yes,B27430,ERS6161366; ERS6161618,No
First Screen,South SE_lower,Pl_262,dMP,SP7221,S97 ,Lys2723,61.35,E13084,1.79E+11,7.14E+05,M5826,B21136,ERS6159978,Yes,B27431,ERS6161367; ERS6161619,No
First Screen,South SE_lower,Pl_262,dMP,SP7222,S98 ,Lys2724,55,E13085,2.60E+11,6.46E+05,M5827,B21137,ERS6159979,Yes,B27432,ERS6161368; ERS6161620,No
First Screen,South SE_lower,Pl_262,dMP,SP7223,S99 ,Lys2725,48.7,E13086,2.98E+11,7.07E+05,M5828,B21138,ERS6159980,Yes,B27433,ERS6161369; ERS6161621,No
First Screen,,Pl_262,,LNC,,,,,1.09E+08,6.32E+05,M5829,B21139,ERS6159981,No,B27434,ERS6161370; ERS6161622,No
First Screen,South SE_lower,Pl_262,dMP,SP7224,S100 ,Lys2726,57.1,E13089,3.87E+11,6.15E+05,M5834,B21140,ERS6159982,Yes,B27435,ERS6161371; ERS6161623,No
First Screen,South SE_lower,Pl_262,dMP,SP7225,S101 ,Lys2727,76.7,E13090,3.62E+11,4.44E+05,M5835,B21141,ERS6159983,Yes,B27436,ERS6161372; ERS6161624,No
First Screen,South SE_lower,Pl_262,dMP,SP7226,S102 ,Lys2728,81.4,E13091,1.56E+11,5.94E+05,M5836,B21142,ERS6159984,Yes,B27437,ERS6161373; ERS6161625,No
First Screen,South SE_lower,Pl_262,dMP,SP7227,S103 ,Lys2729,89.7,E13092,2.21E+11,6.34E+05,M5837,B21143,ERS6159985,Yes,B27438,ERS6161374; ERS6161626,No
First Screen,South SE_lower,Pl_262,dMP,SP7228,S104 ,Lys2730,47.8,E13093,2.86E+11,8.31E+05,M5838,B21144,ERS6159986,Yes,B27439,ERS6161375; ERS6161627,No
First Screen,South SE_lower,Pl_262,dMP,SP7229,S105 ,Lys2731,58.4,E13094,1.67E+11,7.19E+05,M5839,B21145,ERS6159987,Yes,B27440,ERS6161376; ERS6161628,No
First Screen,South SE_lower,Pl_262,dMP,SP7230,S106 ,Lys2732,80,E13095,2.70E+11,6.46E+05,M5840,B21146,ERS6159988,Yes,B27441,ERS6161377; ERS6161629,No
First Screen,South SE_lower,Pl_262,dMP,SP7231,S107 ,Lys2733,70.4,E13096,1.94E+11,6.30E+05,M5841,B21147,ERS6159989,Yes,B27442,ERS6161378; ERS6161630,No
First Screen,South SE_lower,Pl_262,dMP,SP7232,S108 ,Lys2734,67.9,E13097,1.21E+11,4.85E+05,M5842,B21148,ERS6159990,Yes,B27443,ERS6161379; ERS6161631,No
First Screen,South SE_lower,Pl_262,dMP,SP7233,S109 ,Lys2735,88,E13098,1.60E+11,4.17E+05,M5843,B21149,ERS6159991,Yes,B27444,ERS6161380; ERS6161632,No
First Screen,South SE_lower,Pl_262,dMP,SP7234,S110 ,Lys2736,92.9,E13099,3.35E+11,3.17E+05,M5844,B21150,ERS6159992,Yes,B27445,ERS6161381; ERS6161633,No
First Screen,,Pl_262,,ENC,,,,E13100,1.13E+08,7.61E+05,M5845,B21151,ERS6159993,No,B27446,ERS6161382; ERS6161634,No
First Screen,South SE_lower,Pl_262,dMP,SP7235,S111 ,Lys2738,58.7,E13101,2.96E+11,5.77E+05,M5846,B21153,ERS6159994,Yes,B27447,ERS6161383; ERS6161635,No
First Screen,South SE_lower,Pl_262,dMP,SP7236,S112 ,Lys2739,71.2,E13102,3.03E+11,5.33E+05,M5847,B21154,ERS6159995,Yes,B27448,ERS6161384; ERS6161636,No
First Screen,South SE_lower,Pl_262,dMP,SP7237,S113 ,Lys2740,78.7,E13103,2.03E+11,6.30E+05,M5848,B21155,ERS6159996,Yes,B27449,ERS6161385; ERS6161637,No
First Screen,South SE_lower,Pl_262,dMP,SP7238,S114 ,Lys2741,69.2,E13104,2.38E+11,6.10E+05,M5849,B21156,ERS6159997,Yes,B27450,ERS6161386; ERS6161638,No
First Screen,South SE_lower,Pl_262,dMP,SP7239,S115 ,Lys2742,50.35,E13105,1.58E+11,6.57E+05,M5850,B21157,ERS6159998,Yes,B27451,ERS6161387; ERS6161639,No
First Screen,South SE_lower,Pl_262,dMP,SP7240,S116 ,Lys2743,73.4,E13106,2.96E+11,4.69E+05,M5851,B21158,ERS6159999,Yes,B27452,ERS6161388; ERS6161640,No
First Screen,South SE_lower,Pl_262,dMP,SP7241,S117 ,Lys2744,92,E13107,1.97E+11,6.54E+05,M5852,B21159,ERS6160000,Yes,B27453,ERS6161389; ERS6161641,No
First Screen,,Pl_262,,LNC,,,,,1.09E+08,6.75E+05,M5853,B21160,ERS6160001,No,B27454,ERS6161390; ERS6161642,No
First Screen,South SE_lower,Pl_262,dMP,SP7242,S118 ,Lys2745,91.6,E13110,2.43E+11,4.43E+05,M5857,B21161,ERS6160002,Yes,B27455,ERS6161391; ERS6161643,No
First Screen,South SE_lower,Pl_262,dMP,SP7243,S119 ,Lys2746,64.5,E13111,3.09E+11,5.35E+05,M5858,B21162,ERS6160003,Yes,B27456,ERS6161392; ERS6161644,No
First Screen,South SE_lower,Pl_262,dMP,SP7244,S120 ,Lys2747,82.1,E13112,1.66E+11,3.61E+05,M5859,B21163,ERS6160004,Yes,B27457,ERS6161393; ERS6161645,No
First Screen,South SE_lower,Pl_262,dMP,SP7245,S121 ,Lys2748,93.6,E13113,2.64E+11,4.44E+05,M5860,B21164,ERS6160005,Yes,B27458,ERS6161394; ERS6161646,No
First Screen,South SE_lower,Pl_262,dMP,SP7246,S122 ,Lys2749,82.5,E13114,2.43E+11,6.07E+05,M5861,B21165,ERS6160006,Yes,B27459,ERS6161395; ERS6161647,No
First Screen,South SE_lower,Pl_262,dMP,SP7247,S123 ,Lys2750,76.7,E13115,8.83E+10,7.39E+05,M5862,B21167,ERS6160007,Yes,B27462,ERS6161396; ERS6161648,No
First Screen,South SE_lower,Pl_262,dMP,SP7248,S124 ,Lys2751,50.7,E13116,1.46E+11,7.17E+05,M5863,B21168,ERS6160008,Yes,B27463,ERS6161397; ERS6161649,No
First Screen,,Pl_262,,ENC,,,,E13117,1.05E+08,7.87E+05,M5864,B21169,ERS6160009,No,B27464,ERS6161398; ERS6161650,No
First Screen,South SE_lower,Pl_262,dMP,SP7249,S125 ,Lys2753,57.5,E13118,1.20E+11,6.50E+05,M5865,B21170,ERS6160010,Yes,B27465,ERS6161399; ERS6161651,No
First Screen,South SE_lower,Pl_262,dMP,SP7250,S126 ,Lys2754,81.1,E13119,1.64E+11,6.79E+05,M5866,B21171,ERS6160011,Yes,B27466,ERS6161400; ERS6161652,No
First Screen,South SE_lower,Pl_262,dMP,SP7251,S127 ,Lys2755,84.8,E13120,1.56E+11,5.44E+05,M5867,B21172,ERS6160012,Yes,B27467,ERS6161401; ERS6161653,Yes
First Screen,South SE_lower,Pl_262,dMP,SP7252,S128 ,Lys2756,56.65,E13121,9.69E+10,6.43E+05,M5868,B21173,ERS6160013,Yes,B27468,ERS6161402; ERS6161654,No
First Screen,South SE_lower,Pl_262,dMP,SP7253,S129 ,Lys2757,49.6,E13122,1.63E+11,5.90E+05,M5869,B21174,ERS6160014,Yes,B27469,ERS6161403; ERS6161655,Yes
First Screen,South SE_lower,Pl_262,dMP,SP7254,S130 ,Lys2758,79.4,E13123,2.23E+11,6.18E+05,M5870,B21175,ERS6160015,Yes,B27470,ERS6161404; ERS6161656,No
First Screen,South SE_lower,Pl_262,dMP,SP7255,S131 ,Lys2759,60.8,E13124,2.27E+11,5.95E+05,M5871,B21176,ERS6160016,Yes,B27471,ERS6161405; ERS6161657,No
First Screen,South SE_lower,Pl_262,dMP,SP7256,S132 ,Lys2760,88.3,E13125,1.49E+11,6.57E+05,M5872,B21177,ERS6160017,Yes,B27472,ERS6161406; ERS6161658,No
First Screen,South SE_lower,Pl_262,dMP,SP7257,S133 ,Lys2761,99.4,E13126,1.09E+11,5.34E+05,M5873,B21178,ERS6160018,Yes,B27473,ERS6161407; ERS6161659,No
First Screen,South SE_lower,Pl_262,dMP,SP7258,S134 ,Lys2762,54.2,E13127,9.21E+10,6.93E+05,M5874,B21179,ERS6160019,Yes,B27474,ERS6161408; ERS6161660,No
First Screen,South SE_lower,Pl_262,dMP,SP7259,S135 ,Lys2763,70,E13128,1.64E+11,5.25E+05,M5875,B21180,ERS6160020,Yes,B27475,ERS6161409; ERS6161661,No
First Screen,South SE_lower,Pl_262,dMP,SP7260,S136 ,Lys2764,58.1,E13129,1.68E+11,6.59E+05,M5876,B21181,ERS6160021,Yes,B27476,ERS6161410; ERS6161662,No
First Screen,,Pl_262,,LNC,,,,,9.77E+07,7.73E+05,M5877,B21182,ERS6160022,No,B27477,ERS6161411; ERS6161663,No
First Screen,South SE_lower,Pl_262,dMP,SP7261,S137 ,Lys2765,65.8,E13132,1.37E+11,5.94E+05,M5882,B21183,ERS6160023,Yes,B27478,ERS6161412; ERS6161664,No
First Screen,South SE_lower,Pl_262,dMP,SP7262,S138 ,Lys2766,59,E13133,5.10E+10,6.63E+05,M5883,B21184,ERS6160024,Yes,B27479,ERS6161413,No
First Screen,South SE_lower,Pl_262,dMP,SP7263,S139 ,Lys2767,89.1,E13134,2.30E+11,6.76E+05,M5884,B21185,ERS6160025,Yes,B27480,ERS6161414; ERS6161665,No
First Screen,South SE_lower,Pl_262,dMP,SP7264,S140 ,Lys2768,80.6,E13135,9.68E+10,6.18E+05,M5885,B21186,ERS6160026,Yes,B27481,ERS6161415,Yes
First Screen,South SE_lower,Pl_262,dMP,SP7265,S141 ,Lys2769,64.4,E13136,1.01E+11,5.76E+05,M5886,B21187,ERS6160027,Yes,B27482,ERS6161416; ERS6161666,No
First Screen,,Pl_262,,ENC,,,,E13137,9.55E+07,6.81E+05,M5887,B21188,ERS6160028,No,B27483,ERS6161417; ERS6161667,No
First Screen,South SE_lower,Pl_262,dMP,SP7266,S142 ,Lys2771,57,E13138,1.77E+11,6.32E+05,M5888,B21189,ERS6160029,Yes,B27484,ERS6161418; ERS6161668,No
First Screen,South SE_lower,Pl_262,dMP,SP7267,S143 ,Lys2772,97.4,E13139,1.93E+11,3.80E+05,M5889,B21190,ERS6160030,Yes,B27485,ERS6161419; ERS6161669,No
First Screen,South SE_lower,Pl_262,dMP,SP7268,S144 ,Lys2773,58.25,E13140,5.05E+10,6.56E+05,M5890,B21191,ERS6160031,Yes,B27486,ERS6161420; ERS6161670,No
First Screen,South SE_lower,Pl_262,dMP,SP7269,S145 ,Lys2774,91,E13141,4.12E+10,6.19E+05,M5891,B21192,ERS6160032,Yes,B27487,ERS6161421,No
