RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
Cap.E.7049	238126	236214	131093	19	0.002103	31.9	f	436	Chiroptera	Phyllostomidae	Leptonycteris_nivalis	best	258	0.5917	162	1.5925	605	161	562	1.26	++	27	42	48.3 (29.4,67.5)	31.0 (17.6,47.1)	0.0 (0.0,97.5)	0.0 (0.0,84.2)	46.4	44.9	0.44	0.036	0.327	0.11
Cap.E.7049	238126	236214	131093	213	0.1165	1.41	f	531	Primates	Hominidae	Homo_sapiens	fixed	306	0.5762	211	1.4502	6192	-	-	1.65	++	49	78	46.8 (34.0,59.9)	32.4 (21.8,44.5)	42.9 (9.9,81.6)	27.3 (6.0,61.0)	44.0	43.4	0.56	0.373	0.39	0.957
Cap.E.7049	238126	236214	131093	28	0.004398	3.0	f	308	Primates	Cebidae	Leontopithecus_rosalia	best	79	0.2564	64	1.2343	494	61	481	0.47	-	2	10	22.2 (2.8,60.0)	0.0 (0.0,26.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	52.5	54.0	0.19	0.029	0.16	0.182
Cap.E.7049	238126	236214	131093	30	0.005244	2.4	f	514	Carnivora	Felidae	Panthera_leo	best	304	0.5914	207	1.4685	1291	206	1255	1.61	++	73	99	60.4 (46.0,73.5)	57.7 (46.0,68.8)	44.4 (13.7,78.8)	40.0 (12.2,73.8)	47.8	47.4	0.59	0.077	0.408	0.19
Cap.E.7049	238126	236214	131093	35	0.004068	1.2	f	421	Rodentia	Sciuridae	Dremomys_rufigenis	best	134	0.3182	98	1.3673	791	96	725	0.75	++	23	41	33.3 (11.8,61.6)	67.9 (47.6,84.1)	50.0 (1.3,98.7)	100.0 (2.5,100.0)	43.4	42.7	0.25	0.047	0.202	0.235
Cap.E.7049	238126	236214	131093	4	0.0008953	1.0	f	136	Carnivora	Mustelidae	Meles_anakuma	best	30	0.2205	23	1.3043	610	23	610	0.18	-	2	6	0.0 (0.0,84.2)	66.7 (9.4,99.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	46.9	46.0	0.06	0.036	0.056	0.66
Cap.E.7049	238126	236214	131093	41	0.004726	41.8	f	572	Rodentia	Cricetidae	Ondatra_zibethicus	best	363	0.6346	247	1.4696	515	247	515	1.94	++	47	82	53.2 (40.1,66.0)	30.4 (17.7,45.8)	0.0 (0.0,84.2)	0.0 (0.0,52.2)	45.6	44.4	0.68	0.031	0.455	0.069
Cap.E.7049	238126	236214	131093	6	0.0009485	4.17	f	787	Chiroptera	Vespertilionidae	Myotis_ruber	best	203	0.2579	141	1.4397	621	140	612	1.10	++	37	56	61.4 (45.5,75.6)	44.4 (25.5,64.7)	50.0 (6.8,93.2)	50.0 (6.8,93.2)	45.9	44.9	0.38	0.036	0.286	0.127
Cap.E.7049	238126	236214	131093	6	0.002099	1.0	f	172	Carnivora	Canidae	Canis_lupus_chanco	best	121	0.7034	94	1.2872	1387	87	1298	0.68	++	28	36	60.0 (38.7,78.9)	43.8 (26.4,62.3)	33.3 (0.8,90.6)	25.0 (0.6,80.6)	48.3	47.7	0.26	0.082	0.211	0.391
Cap.E.7049	238126	236214	131093	604	0.08592	13.9	f	2047	Perissodactyla	Rhinocerotidae	Coelodonta_antiquitatis	best	1963	0.9589	1424	1.3785	3331	1416	3311	11.12	++	309	450	51.3 (45.9,56.7)	36.5 (31.7,41.4)	48.0 (27.8,68.7)	26.7 (14.6,41.9)	52.4	53.0	4.55	0.202	0.982	0.206
