RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
hyaena_1000_human_7	2499625	2499625	2499625	37	0.004344	61.7	f	552	Chiroptera	Molossidae	Tadarida_latouchei	best	75	0.1358	31	2.4193	359	31	359	0.07	-	0	3	0.0 (0.0,41.0)	0.0 (0.0,41.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	42.3	45.3	0.07	0.021	0.066	0.321
hyaena_1000_human_7	2499625	2499625	2499625	38	0.003312	75.9	f	304	Rodentia	Chinchillidae	Chinchilla_lanigera	best	103	0.3388	30	3.4333	269	26	209	0.05	-	0	1	0.0 (0.0,70.8)	0.0 (0.0,52.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	46.7	53.0	0.08	0.016	0.07	0.229
hyaena_1000_human_7	2499625	2499625	2499625	38	0.003519	5.42	f	1104	Rodentia	Anomaluridae	Anomalurus_beecrofti	best	381	0.3451	82	4.6463	542	82	542	0.18	-	5	9	23.5 (6.8,49.9)	5.9 (0.1,28.7)	N/A (N/A,N/A)	N/A (N/A,N/A)	44.9	47.9	0.21	0.032	0.175	0.183
hyaena_1000_human_7	2499625	2499625	2499625	38	0.003645	62.7	f	2278	Cingulata	Chlamyphoridae	Chlamyphorus_truncatus	best	232	0.1018	66	3.5151	566	57	506	0.12	-	4	10	30.0 (6.7,65.2)	9.1 (0.2,41.3)	0.0 (0.0,97.5)	N/A (N/A,N/A)	39.4	38.4	0.16	0.034	0.132	0.262
hyaena_1000_human_7	2499625	2499625	2499625	38	0.005053	47.3	f	397	Perissodactyla	Tapiridae	Tapirus_indicus	best	111	0.2795	52	2.1346	423	52	423	0.11	-	3	5	9.1 (0.2,41.3)	22.2 (2.8,60.0)	0.0 (0.0,84.2)	N/A (N/A,N/A)	40.3	45.0	0.12	0.025	0.104	0.241
hyaena_1000_human_7	2499625	2499625	2499625	38	0.007162	2.95	f	3185	Primates	Cheirogaleidae	Microcebus_danfossi	best	428	0.1343	146	2.9315	1161	122	1070	0.27	-	5	12	4.3 (0.1,21.9)	16.7 (4.7,37.4)	0.0 (0.0,84.2)	N/A (N/A,N/A)	43.3	46.3	0.38	0.069	0.289	0.238
hyaena_1000_human_7	2499625	2499625	2499625	38	0.05947	7.32	f	20412	Carnivora	Herpestidae	Urva_javanica	best	5596	0.2741	850	6.5835	4079	833	3954	1.88	+	53	100	11.5 (7.0,17.6)	16.8 (12.0,22.6)	0.0 (0.0,36.9)	0.0 (0.0,30.8)	45.8	47.5	2.32	0.243	0.871	0.279
hyaena_1000_human_7	2499625	2499625	2499625	40	0.003532	30.8	f	488	Rodentia	Gliridae	Glis_glis	best	154	0.3155	26	5.9230	268	26	268	0.05	-	0	0	0.0 (0.0,97.5)	0.0 (0.0,52.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	46.4	N/A	0.07	0.016	0.062	0.259
hyaena_1000_human_7	2499625	2499625	2499625	40	0.0114	294.0	f	4847	Chiroptera	Rhinolophidae	Rhinolophus_macrotis	best	1460	0.3012	227	6.4317	978	227	978	0.51	-	14	26	16.7 (7.0,31.4)	17.5 (7.3,32.8)	0.0 (0.0,97.5)	0.0 (0.0,97.5)	45.8	44.0	0.61	0.058	0.419	0.138
hyaena_1000_human_7	2499625	2499625	2499625	42	0.004167	33.9	f	97	Microbiotheria	Microbiotheriidae	Dromiciops_gliroides	best	8	0.0824	7	1.1428	206	7	206	0.01	-	1	1	25.0 (0.6,80.6)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	37.9	36.0	0.01	0.013	0.015	0.887
hyaena_1000_human_7	2499625	2499625	2499625	42	0.004755	17.5	f	11306	Chiroptera	Phyllostomidae	Artibeus_hartii	best	1013	0.0895	261	3.8812	1804	260	1764	0.58	-	10	24	10.3 (2.9,24.2)	10.9 (4.1,22.2)	0.0 (0.0,97.5)	0.0 (0.0,84.2)	44.0	45.4	0.69	0.108	0.456	0.237
hyaena_1000_human_7	2499625	2499625	2499625	43	0.004613	73.6	f	370	Rodentia	Caviidae	Cavia_porcellus	best	297	0.8027	64	4.6406	243	64	243	0.14	-	2	5	7.1 (0.2,33.9)	7.7 (0.2,36.0)	0.0 (0.0,97.5)	N/A (N/A,N/A)	43.0	42.4	0.16	0.014	0.134	0.107
hyaena_1000_human_7	2499625	2499625	2499625	44	0.0043	13.5	f	219	Rodentia	Ctenomyidae	Ctenomys_leucodon	best	21	0.0958	16	1.3125	284	11	235	0.02	-	0	0	0.0 (0.0,84.2)	0.0 (0.0,84.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	41.2	N/A	0.04	0.017	0.035	0.498
hyaena_1000_human_7	2499625	2499625	2499625	44	0.004748	76.3	f	528	Artiodactyla	Tayassuidae	Pecari_tajacu	best	667	1.2632	84	7.9404	417	83	404	0.18	+	6	13	50.0 (15.7,84.3)	16.7 (2.1,48.4)	N/A (N/A,N/A)	N/A (N/A,N/A)	46.4	47.0	0.23	0.024	0.185	0.133
hyaena_1000_human_7	2499625	2499625	2499625	44	0.007364	65.0	f	11058	Artiodactyla	Bovidae	Tragelaphus_angasii	best	1502	0.1358	400	3.7550	2281	379	2254	0.85	-	20	42	12.5 (5.9,22.4)	15.4 (8.2,25.3)	25.0 (0.6,80.6)	50.0 (1.3,98.7)	45.3	43.6	1.09	0.139	0.621	0.223
hyaena_1000_human_7	2499625	2499625	2499625	46	0.004439	58.0	f	493	Hyracoidea	Chrysochloridae	Eremitalpa_granti	best	518	1.0507	81	6.3950	499	81	499	0.18	-	2	3	0.0 (0.0,18.5)	14.3 (1.8,42.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	43.1	43.7	0.21	0.03	0.169	0.177
hyaena_1000_human_7	2499625	2499625	2499625	48	0.00491	76.4	f	474	Carnivora	Odobenidae	Odobenus_rosmarus_rosmarus	best	239	0.5042	59	4.0508	384	59	384	0.13	-	4	7	0.0 (0.0,33.6)	33.3 (9.9,65.1)	0.0 (0.0,97.5)	N/A (N/A,N/A)	42.8	42.7	0.15	0.023	0.126	0.183
hyaena_1000_human_7	2499625	2499625	2499625	49	0.006414	92.2	f	5681	Carnivora	Canidae	Vulpes_lagopus	best	1207	0.2124	285	4.2350	1740	277	1682	0.62	+	13	32	20.9 (10.0,36.0)	9.5 (2.7,22.6)	N/A (N/A,N/A)	0.0 (0.0,84.2)	45.1	43.0	0.76	0.104	0.492	0.211
hyaena_1000_human_7	2499625	2499625	2499625	5	0.000412	108.0	f	49	Dasyuromorphia	Myrmecobiidae	Myrmecobius_fasciatus	best	0	0	0	0	0	0	0	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A	N/A	0	0.0	0.0	
hyaena_1000_human_7	2499625	2499625	2499625	5	0.0004626	185.0	f	28	Sirenia	Trichechidae	Trichechus_manatus	best	0	0	0	0	0	0	0	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A	N/A	0	0.0	0.0	
hyaena_1000_human_7	2499625	2499625	2499625	50	0.009237	56.6	f	4676	Carnivora	Phocidae	Phoca_fasciata	best	2415	0.5164	366	6.5983	1796	340	1650	0.76	-	13	34	10.2 (3.8,20.8)	10.8 (4.4,20.9)	0.0 (0.0,97.5)	0.0 (0.0,84.2)	45.2	43.5	0.99	0.107	0.583	0.184
hyaena_1000_human_7	2499625	2499625	2499625	51	0.004454	31.8	f	1418	Eulipotyphla	Erinaceidae	Echinosorex_gymnura	best	479	0.3377	88	5.4431	553	88	553	0.19	-	2	2	7.1 (0.2,33.9)	10.0 (0.3,44.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	43.8	39.5	0.22	0.032	0.179	0.179
hyaena_1000_human_7	2499625	2499625	2499625	51	0.007132	83.0	f	2148	Perissodactyla	Rhinocerotidae	Rhinoceros_sondaicus	best	933	0.4343	170	5.4882	1058	164	1041	0.37	-	7	17	13.3 (3.8,30.7)	12.0 (2.5,31.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	42.1	39.9	0.43	0.064	0.318	0.202
hyaena_1000_human_7	2499625	2499625	2499625	52	0.005677	45.8	f	6100	Eulipotyphla	Soricidae	Crocidura_leucodon	best	427	0.0700	119	3.5882	883	119	883	0.26	-	5	10	7.1 (0.9,23.5)	15.8 (3.4,39.6)	0.0 (0.0,97.5)	N/A (N/A,N/A)	41.2	41.5	0.28	0.052	0.225	0.231
hyaena_1000_human_7	2499625	2499625	2499625	52	0.00759	58.5	f	3604	Eulipotyphla	Talpidae	Uropsilus_gracilis	best	804	0.2230	140	5.7428	780	139	779	0.31	-	4	12	8.3 (1.0,27.0)	8.0 (1.0,26.0)	0.0 (0.0,97.5)	N/A (N/A,N/A)	44.9	41.8	0.37	0.047	0.283	0.166
hyaena_1000_human_7	2499625	2499625	2499625	52	0.008046	45.0	f	15740	Carnivora	Mustelidae	Mustela_kathiah	best	4700	0.2986	667	7.0464	2657	662	2600	1.49	-	20	67	8.4 (4.3,14.5)	7.5 (3.5,13.8)	0.0 (0.0,97.5)	0.0 (0.0,60.2)	44.8	45.8	1.8	0.16	0.797	0.201
